date,A,AA,AA.PB,AAC,AAN,AAP,AAT,AAV,AB,ABB
2016-04-26,41.109294,31.794576,35.596225,20.18,26.626623,158.152712,38.144834,5.48,23.424664,20.087418
2016-04-27,41.367971,33.73327,36.815735,20.459999,26.626623,159.141922,39.291155,5.54,23.60797,20.25073
2016-04-28,40.970009,33.256053,36.477728,20.67,25.448984,155.744647,39.014458,5.53,22.72038,20.097024
2016-04-29,40.711333,33.315703,36.566073,20.59,26.157563,155.974473,39.202216,5.72,22.662494,20.27955
2016-05-02,41.497305,32.689359,36.071544,20.059999,26.437003,155.334988,40.200309,5.61,23.000164,20.394829
2016-05-03,41.029704,30.869967,34.15586,20.389999,26.057764,155.884533,40.54618,5.3,22.093278,20.193091
2016-05-04,40.313375,30.630665,33.886993,19.530001,25.598683,155.714672,41.257691,5.33,22.237994,19.876073
2016-05-05,40.751129,29.972584,33.55859,21.5,25.309265,148.620391,41.129223,5.29,21.923815,19.731974
2016-05-06,41.218734,30.032411,33.694943,21.34,25.488905,150.398958,41.39604,5.31,22.434357,19.789613
2016-05-09,41.119245,28.29747,32.13935,21.530001,25.538804,151.40814,41.712266,5.19,22.296902,19.59748
2016-05-10,41.785827,28.925639,32.341,21.67,25.538804,152.167524,41.583802,5.4,22.777991,19.876073
2016-05-11,42.24348,28.536773,31.956901,21.389999,24.560765,148.010881,40.714178,5.55,22.512902,19.88568
2016-05-12,42.512104,28.237645,31.688034,20.35,24.710465,149.879372,40.941465,5.77,22.52272,19.895285
2016-05-13,42.402664,27.519739,31.342346,20.459999,24.051785,145.44294,40.447361,5.72,22.00236,19.405349
2016-05-16,42.721032,27.759041,31.601612,20.540001,24.091704,148.020867,40.714178,5.89,21.874726,19.539841
2016-05-17,44.183537,27.818866,31.294335,19.719999,23.762364,143.964135,39.903847,5.86,21.95327,19.520627
2016-05-18,44.093996,26.981308,30.468525,19.870001,23.363165,143.694348,38.846465,5.63,22.385265,19.559055
2016-05-19,44.332774,27.280437,30.785407,19.629999,23.732426,143.42456,38.273302,5.71,22.228176,19.434168
2016-05-20,44.661089,27.250524,30.593357,19.85,23.622645,146.272275,38.974929,5.75,22.807444,19.539841
2016-05-23,44.342721,27.759041,31.255924,19.99,23.732426,145.752689,38.629058,5.7,22.532538,19.693547
2016-05-24,44.800375,28.17782,31.678433,20.889999,24.121645,149.219899,39.271395,5.74,22.807444,19.731974
2016-05-25,45.188385,28.716248,32.081734,21.200001,24.421044,153.406532,39.192336,5.93,22.954715,19.876073
2016-05-26,45.277927,28.447035,32.062529,20.67,24.520844,156.53402,39.389978,5.86,22.905625,20.097024
2016-05-27,45.586347,27.968429,31.803262,21.389999,24.969945,156.184295,39.67656,5.86,22.993988,20.16427
2016-05-31,45.65599,27.729127,31.640023,21.51,25.049785,153.71628,39.538207,5.89,23.082351,19.962532
2016-06-01,45.715685,27.818866,31.697635,22.209999,25.074759,153.216682,39.973021,5.92,23.101988,20.058597
2016-06-02,45.665941,27.908604,31.755251,22.190001,24.934898,152.027637,40.91182,5.91,23.141259,20.020172
2016-06-03,45.486859,28.476946,32.360205,21.49,25.034798,150.588808,40.842646,5.94,23.043078,20.125845
